Donor Type,Donor Age,Donor State of Residence,All Donors - All History of Diabetes,All Donors - NA before 4/1/1994,All Donors - NO,All Donors - UNKNOWN,"All Donors - YES, >10 YEARS","All Donors - YES, 0-5 YEARS","All Donors - YES, 6-10 YEARS","All Donors - YES, UNKNOWN DURATION",Kidney - All History of Diabetes,Kidney - NA before 4/1/1994,Kidney - NO,Kidney - UNKNOWN,"Kidney - YES, >10 YEARS","Kidney - YES, 0-5 YEARS","Kidney - YES, 6-10 YEARS","Kidney - YES, UNKNOWN DURATION",Liver - All History of Diabetes,Liver - NA before 4/1/1994,Liver - NO,Liver - UNKNOWN,"Liver - YES, >10 YEARS","Liver - YES, 0-5 YEARS","Liver - YES, 6-10 YEARS","Liver - YES, UNKNOWN DURATION",Heart - All History of Diabetes,Heart - NA before 4/1/1994,Heart - NO,Heart - UNKNOWN,"Heart - YES, >10 YEARS","Heart - YES, 0-5 YEARS","Heart - YES, 6-10 YEARS","Heart - YES, UNKNOWN DURATION",Pancreas - All History of Diabetes,Pancreas - NA before 4/1/1994,Pancreas - NO,Pancreas - UNKNOWN,"Pancreas - YES, >10 YEARS","Pancreas - YES, 0-5 YEARS","Pancreas - YES, 6-10 YEARS","Pancreas - YES, UNKNOWN DURATION",Lung - All History of Diabetes,Lung - NA before 4/1/1994,Lung - NO,Lung - UNKNOWN,"Lung - YES, >10 YEARS","Lung - YES, 0-5 YEARS","Lung - YES, 6-10 YEARS","Lung - YES, UNKNOWN DURATION",Intestine - All History of Diabetes,Intestine - NA before 4/1/1994,Intestine - NO,Intestine - UNKNOWN,"Intestine - YES, >10 YEARS","Intestine - YES, 0-5 YEARS","Intestine - YES, 6-10 YEARS","Intestine - YES, UNKNOWN DURATION"
,,Maryland,4570,495,3485,31,195,212,94,58,4184,477,3270,27,127,172,67,44,3787,317,2982,24,163,173,81,47,1436,214,1180,6,7,15,4,10,1161,115,1036,5,0,2,0,3,1004,49,863,4,30,27,14,17,54,3,50,0,0,0,0,1
,,Massachusetts,3717,534,2858,17,87,123,54,44,3476,509,2693,16,64,109,46,39,2761,299,2228,14,73,83,34,30,1242,209,987,4,7,26,5,4,614,50,559,2,0,1,1,1,502,29,454,2,9,3,2,3,33,0,31,0,0,0,2,0
,,Michigan,7804,1004,6115,33,200,245,119,88,7232,967,5729,31,114,218,96,77,5822,626,4735,25,150,158,74,54,2548,379,2109,4,13,27,12,4,1425,142,1277,4,0,1,1,0,1548,73,1379,6,35,32,13,10,153,1,150,0,0,0,2,0
,,Minnesota,3396,514,2642,13,91,81,33,22,3185,492,2514,13,50,74,26,16,2866,362,2311,12,81,54,28,18,1304,249,1023,5,4,15,7,1,1383,298,1081,2,0,0,1,1,686,85,573,3,5,16,3,1,86,1,84,0,0,1,0,0
,,Mississippi,2122,180,1775,6,41,63,26,31,1955,173,1651,4,30,52,21,24,1694,100,1462,5,35,54,17,21,720,91,612,0,2,11,1,3,395,19,373,1,0,0,0,2,313,14,281,0,3,10,2,3,63,1,59,0,0,2,0,1
,,Missouri,5445,597,4352,12,176,166,99,43,4797,552,3927,9,87,130,64,28,4569,429,3706,10,160,144,84,36,1863,310,1519,1,5,21,5,2,1127,189,935,1,0,2,0,0,1214,68,1066,1,34,25,14,6,102,3,99,0,0,0,0,0
,,Montana,676,98,548,3,5,9,7,6,643,93,528,2,3,8,4,5,554,75,457,3,5,3,7,4,294,57,232,1,1,2,0,1,171,23,146,1,0,0,0,1,103,5,91,1,3,1,1,1,11,0,11,0,0,0,0,0
,,Nebraska,1283,195,998,3,31,29,19,8,1200,177,950,2,20,26,17,8,1099,158,871,1,26,22,14,7,443,95,341,0,2,4,1,0,422,83,338,0,0,1,0,0,225,12,202,0,0,6,3,2,35,0,35,0,0,0,0,0
,,Nevada,1992,183,1614,15,64,74,30,12,1836,181,1504,14,41,63,23,10,1648,120,1366,12,54,59,26,11,706,89,600,0,5,8,4,0,310,28,281,0,0,1,0,0,336,12,309,1,6,4,3,1,21,0,21,0,0,0,0,0
,,New Hampshire,793,118,612,2,22,23,8,8,745,114,580,2,13,22,8,6,605,75,480,2,20,18,3,7,270,47,211,0,4,5,2,1,157,23,134,0,0,0,0,0,135,8,120,0,5,2,0,0,3,0,3,0,0,0,0,0
