Donor Type,Donor Age,Donor State of Residence,All Donors - All ABO,All Donors - O,All Donors - A,All Donors - B,All Donors - AB,All Donors - Unknown,Kidney - All ABO,Kidney - O,Kidney - A,Kidney - B,Kidney - AB,Kidney - Unknown,Liver - All ABO,Liver - O,Liver - A,Liver - B,Liver - AB,Liver - Unknown,Heart - All ABO,Heart - O,Heart - A,Heart - B,Heart - AB,Heart - Unknown,Pancreas - All ABO,Pancreas - O,Pancreas - A,Pancreas - B,Pancreas - AB,Pancreas - Unknown,Lung - All ABO,Lung - O,Lung - A,Lung - B,Lung - AB,Lung - Unknown,Intestine - All ABO,Intestine - O,Intestine - A,Intestine - B,Intestine - AB,Intestine - Unknown
,,Minnesota,8474,4545,3019,715,183,12,8017,4307,2839,682,177,12,3091,1381,1297,322,91,0,1307,605,541,117,44,0,1403,651,586,134,31,1,697,309,307,64,17,0,90,44,32,9,5,0
,,Mississippi,3136,1717,1024,332,63,0,2933,1602,956,315,60,0,1726,850,623,208,45,0,721,376,237,95,13,0,395,200,129,58,8,0,316,162,101,43,10,0,63,40,16,5,2,0
,,Missouri,7950,4115,2875,747,212,1,7236,3744,2616,678,197,1,4631,2199,1816,481,135,0,1863,960,693,166,44,0,1127,542,434,117,34,0,1218,611,460,119,28,0,102,53,37,10,2,0
,,Montana,1236,637,474,94,31,0,1178,606,455,88,29,0,577,256,251,49,21,0,295,146,119,23,7,0,171,79,76,13,3,0,104,53,44,5,2,0,11,7,4,0,0,0
,,Nebraska,2312,1168,887,199,57,1,2183,1107,834,187,54,1,1139,493,493,112,41,0,443,204,188,41,10,0,422,190,180,41,11,0,231,106,93,23,9,0,35,19,14,2,0,0
,,Nevada,2972,1642,947,304,79,0,2769,1529,880,282,78,0,1687,878,577,176,56,0,706,388,234,75,9,0,310,174,110,20,6,0,344,180,121,34,9,0,21,14,5,2,0,0
,,New Hampshire,1687,897,612,141,37,0,1575,838,572,129,36,0,664,303,268,74,19,0,270,105,128,28,9,0,157,63,77,13,4,0,140,52,72,14,2,0,3,2,1,0,0,0
,,New Jersey,11172,6091,3472,1327,280,2,10535,5758,3252,1252,271,2,4616,2234,1614,618,150,0,1803,936,617,220,30,0,1096,544,377,150,25,0,784,402,272,95,15,0,43,21,15,4,3,0
,,New Mexico,2328,1373,721,189,45,0,2199,1288,687,181,43,0,1184,612,441,101,30,0,543,296,197,39,11,0,201,113,76,11,1,0,194,108,77,8,1,0,19,9,9,1,0,0
,,New York,22604,12743,6805,2500,554,2,20099,11315,6063,2216,503,2,9863,4979,3348,1211,325,0,3344,1749,1114,389,92,0,1763,900,594,228,41,0,1127,602,364,132,29,0,140,78,42,19,1,0
