Donor Type,Donor Age,Donor State of Residence,All Donors - All ABO,All Donors - O,All Donors - A,All Donors - B,All Donors - AB,All Donors - Unknown,Kidney - All ABO,Kidney - O,Kidney - A,Kidney - B,Kidney - AB,Kidney - Unknown,Liver - All ABO,Liver - O,Liver - A,Liver - B,Liver - AB,Liver - Unknown,Heart - All ABO,Heart - O,Heart - A,Heart - B,Heart - AB,Heart - Unknown,Pancreas - All ABO,Pancreas - O,Pancreas - A,Pancreas - B,Pancreas - AB,Pancreas - Unknown,Lung - All ABO,Lung - O,Lung - A,Lung - B,Lung - AB,Lung - Unknown,Intestine - All ABO,Intestine - O,Intestine - A,Intestine - B,Intestine - AB,Intestine - Unknown
,,Florida,487,232,176,63,16,0,452,211,164,62,15,0,411,207,145,50,9,0,195,116,52,22,5,0,89,40,33,12,4,0,16,9,6,1,0,0,86,42,29,10,5,0
,,Georgia,224,95,84,33,12,0,212,93,77,30,12,0,183,82,67,29,5,0,116,59,39,14,4,0,19,5,8,5,1,0,11,3,6,2,0,0,31,11,13,7,0,0
,,Hawaii,15,6,7,2,0,0,14,6,6,2,0,0,10,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,59,26,27,4,2,0,57,26,25,4,2,0,46,21,21,4,0,0,26,14,10,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,0,0
,,Illinois,290,151,94,36,9,0,261,135,85,32,9,0,232,122,81,26,3,0,119,71,34,13,1,0,17,11,6,0,0,0,20,9,11,0,0,0,39,21,15,2,1,0
,,Indiana,159,68,74,15,2,0,151,63,74,13,1,0,133,58,64,10,1,0,68,39,21,7,1,0,27,18,9,0,0,0,12,9,3,0,0,0,24,17,7,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iowa,77,34,37,4,2,0,73,31,36,4,2,0,63,29,29,3,2,0,37,19,17,1,0,0,7,4,3,0,0,0,1,0,1,0,0,0,16,9,7,0,0,0
,,Kansas,97,42,42,7,6,0,85,36,37,7,5,0,76,35,33,5,3,0,45,23,18,2,2,0,8,4,3,0,1,0,4,4,0,0,0,0,15,8,6,0,1,0
,,Kentucky,96,47,41,3,5,0,88,42,38,3,5,0,76,39,33,3,1,0,41,27,11,3,0,0,13,5,7,1,0,0,2,1,0,1,0,0,17,10,5,2,0,0
,,Louisiana,136,61,49,22,4,0,124,54,46,20,4,0,119,55,45,17,2,0,66,37,22,5,2,0,20,12,5,3,0,0,7,6,1,0,0,0,20,13,5,2,0,0
,,Maine,19,10,7,1,1,0,18,9,7,1,1,0,17,9,6,1,1,0,13,8,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
,,Maryland,97,45,39,10,3,0,93,43,37,10,3,0,69,29,29,9,2,0,36,21,13,1,1,0,6,4,1,1,0,0,11,8,2,1,0,0,5,3,2,0,0,0
,,Massachusetts,54,27,17,7,3,0,51,26,16,6,3,0,41,21,14,5,1,0,20,12,6,2,0,0,3,2,0,1,0,0,3,3,0,0,0,0,5,2,2,1,0,0
,,Michigan,209,86,85,29,9,0,189,77,78,25,9,0,170,74,70,22,4,0,89,36,41,9,3,0,21,9,8,4,0,0,9,5,3,1,0,0,36,14,17,5,0,0
,,Minnesota,99,55,36,4,4,0,91,52,32,3,4,0,85,49,29,4,3,0,52,31,18,1,2,0,8,6,2,0,0,0,11,9,2,0,0,0,16,9,7,0,0,0
,,Mississippi,91,50,24,17,0,0,85,48,21,16,0,0,72,40,18,14,0,0,43,27,10,6,0,0,11,8,1,2,0,0,3,3,0,0,0,0,17,13,2,2,0,0
,,Missouri,157,75,63,14,5,0,137,61,59,12,5,0,134,64,56,11,3,0,83,47,28,6,2,0,19,9,8,0,2,0,14,8,6,0,0,0,25,14,8,2,1,0
,,Montana,22,11,9,2,0,0,20,11,7,2,0,0,20,10,8,2,0,0,14,8,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
,,Nebraska,47,17,20,7,3,0,41,15,18,6,2,0,41,17,16,6,2,0,20,7,10,3,0,0,6,4,1,1,0,0,2,0,2,0,0,0,8,5,3,0,0,0
,,Nevada,57,29,17,8,3,0,54,27,16,8,3,0,49,26,14,7,2,0,28,20,4,4,0,0,1,0,0,1,0,0,1,1,0,0,0,0,4,2,0,2,0,0
,,New Hampshire,7,6,1,0,0,0,7,6,1,0,0,0,7,6,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New Jersey,166,93,53,14,6,0,153,85,49,13,6,0,118,72,34,10,2,0,72,48,18,6,0,0,7,4,2,0,1,0,9,6,3,0,0,0,14,6,6,1,1,0
,,New Mexico,47,20,23,3,1,0,43,18,21,3,1,0,40,16,21,3,0,0,19,10,9,0,0,0,4,1,2,1,0,0,4,1,2,1,0,0,1,1,0,0,0,0
,,New York,274,113,100,45,16,0,251,102,94,39,16,0,203,90,73,35,5,0,111,58,34,14,5,0,29,10,13,6,0,0,19,11,4,4,0,0,32,12,17,3,0,0
,,North Carolina,193,115,48,22,8,0,178,106,43,21,8,0,158,99,39,17,3,0,75,50,19,5,1,0,22,15,4,3,0,0,9,6,3,0,0,0,38,26,8,3,1,0
,,North Dakota,20,8,8,1,3,0,19,8,8,1,2,0,16,7,6,1,2,0,6,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
,,Ohio,232,105,86,28,12,1,213,94,83,26,10,0,182,89,63,23,7,0,90,51,31,5,2,1,18,10,5,2,1,0,10,6,4,0,0,0,24,13,5,4,2,0
,,Oklahoma,118,47,52,14,5,0,113,47,47,14,5,0,90,38,40,9,3,0,56,29,20,5,2,0,4,2,2,0,0,0,2,1,1,0,0,0,11,5,6,0,0,0
,,Oregon,75,29,35,10,1,0,68,26,31,10,1,0,62,23,28,10,1,0,38,20,12,6,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0
,,Pennsylvania,284,133,105,33,13,0,274,126,102,33,13,0,220,105,83,23,9,0,107,61,37,7,2,0,20,7,13,0,0,0,21,12,7,2,0,0,26,11,14,1,0,0
,,Puerto Rico,33,17,12,4,0,0,33,17,12,4,0,0,24,14,8,2,0,0,4,0,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0
,,Rhode Island,10,4,4,2,0,0,10,4,4,2,0,0,6,2,2,2,0,0,3,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
,,South Carolina,97,49,40,5,3,0,92,49,36,5,2,0,86,43,37,4,2,0,54,28,24,2,0,0,13,9,4,0,0,0,2,1,1,0,0,0,18,10,8,0,0,0
,,South Dakota,26,14,6,4,2,0,24,12,6,4,2,0,23,13,5,4,1,0,7,6,1,0,0,0,5,3,1,0,1,0,4,4,0,0,0,0,4,2,1,0,1,0
,,State unassigned,98,59,29,6,4,0,83,51,26,4,2,0,76,47,22,5,2,0,36,26,9,1,0,0,3,2,1,0,0,0,5,3,2,0,0,0,4,3,1,0,0,0
,,Tennessee,179,80,71,24,4,0,166,76,63,23,4,0,153,73,56,21,3,0,95,47,39,8,1,0,30,18,7,4,1,0,6,4,2,0,0,0,37,20,11,5,1,0
,,Texas,729,377,247,82,23,0,686,354,235,78,19,0,573,312,186,59,16,0,351,215,95,33,8,0,28,15,8,4,1,0,22,20,2,0,0,0,69,43,15,9,2,0
,,Utah,76,35,27,13,1,0,71,33,25,13,0,0,50,27,15,7,1,0,24,13,10,1,0,0,2,2,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0
,,Vermont,7,3,3,1,0,0,7,3,3,1,0,0,6,3,3,0,0,0,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,Virginia,142,73,43,23,3,0,134,69,41,21,3,0,108,58,35,14,1,0,57,32,17,8,0,0,11,6,4,1,0,0,7,4,2,1,0,0,14,7,4,2,1,0
,,Washington,102,46,44,10,2,0,94,41,42,9,2,0,79,39,32,7,1,0,46,24,17,5,0,0,3,1,2,0,0,0,2,2,0,0,0,0,9,5,3,1,0,0
,,West Virginia,46,18,25,3,0,0,43,16,25,2,0,0,34,13,19,2,0,0,18,9,9,0,0,0,2,0,2,0,0,0,4,3,1,0,0,0,3,0,3,0,0,0
,,Wisconsin,111,54,44,11,2,0,94,46,37,10,1,0,91,45,36,9,1,0,39,22,15,2,0,0,8,4,3,1,0,0,2,2,0,0,0,0,9,5,4,0,0,0
,,Wyoming,14,6,5,3,0,0,13,5,5,3,0,0,12,5,4,3,0,0,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6-10 Years,All Donor States of Residence,4413,2143,1558,552,160,0,4306,2081,1524,543,158,0,3686,1821,1316,446,103,0,1709,1018,531,146,14,0,933,476,332,104,21,0,502,275,173,46,8,0,326,175,105,37,9,0
,,Alabama,83,44,22,14,3,0,81,44,20,14,3,0,71,40,19,10,2,0,28,19,5,4,0,0,8,4,3,0,1,0,7,4,3,0,0,0,6,3,1,2,0,0
,,Alaska,17,11,5,0,1,0,17,11,5,0,1,0,13,9,4,0,0,0,4,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Arizona,83,45,28,7,3,0,80,42,28,7,3,0,73,40,26,6,1,0,26,13,10,3,0,0,10,6,4,0,0,0,5,2,3,0,0,0,8,5,2,0,1,0
,,Arkansas,43,21,14,5,3,0,42,20,14,5,3,0,35,17,11,4,3,0,21,12,8,1,0,0,9,4,5,0,0,0,5,2,2,1,0,0,3,2,1,0,0,0
,,California,405,203,124,57,21,0,390,194,120,56,20,0,352,176,113,48,15,0,175,115,42,15,3,0,77,43,21,10,3,0,51,30,16,5,0,0,20,11,7,2,0,0
,,Colorado,51,26,20,5,0,0,49,24,20,5,0,0,39,21,14,4,0,0,21,17,4,0,0,0,13,9,4,0,0,0,1,1,0,0,0,0,3,2,1,0,0,0
,,Connecticut,39,20,13,5,1,0,38,19,13,5,1,0,29,16,12,1,0,0,7,6,1,0,0,0,7,5,2,0,0,0,8,5,3,0,0,0,4,3,1,0,0,0
,,Delaware,17,8,5,3,1,0,17,8,5,3,1,0,12,4,5,2,1,0,2,1,1,0,0,0,3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
,,District of Columbia,9,6,2,1,0,0,8,6,1,1,0,0,9,6,2,1,0,0,3,2,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0
,,Florida,287,138,90,48,11,0,276,133,86,46,11,0,242,118,74,42,8,0,117,64,37,13,3,0,61,29,17,14,1,0,42,20,16,5,1,0,40,19,13,7,1,0
,,Georgia,156,75,57,20,4,0,155,74,57,20,4,0,124,58,49,15,2,0,81,45,30,6,0,0,18,6,10,1,1,0,23,11,7,4,1,0,16,9,5,2,0,0
,,Hawaii,16,5,9,1,1,0,15,5,8,1,1,0,12,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,30,14,12,3,1,0,29,13,12,3,1,0,25,12,10,3,0,0,12,4,6,1,1,0,6,6,0,0,0,0,1,0,1,0,0,0,4,2,1,1,0,0
,,Illinois,177,99,50,21,7,0,174,96,50,21,7,0,151,84,45,17,5,0,63,38,19,4,2,0,56,35,15,4,2,0,25,14,7,3,1,0,9,4,4,1,0,0
,,Indiana,106,50,42,11,3,0,102,47,41,11,3,0,87,42,36,7,2,0,41,25,16,0,0,0,27,9,16,2,0,0,13,9,4,0,0,0,7,2,4,1,0,0
,,Iowa,48,13,25,5,5,0,48,13,25,5,5,0,33,9,18,5,1,0,16,5,9,2,0,0,14,4,8,2,0,0,5,2,3,0,0,0,1,1,0,0,0,0
,,Kansas,67,24,27,14,2,0,66,24,27,13,2,0,52,18,22,10,2,0,28,12,10,6,0,0,11,6,4,1,0,0,9,4,4,1,0,0,3,0,1,2,0,0
,,Kentucky,64,33,24,6,1,0,62,31,24,6,1,0,52,28,19,4,1,0,22,13,6,3,0,0,14,10,4,0,0,0,6,3,0,3,0,0,4,3,0,1,0,0
,,Louisiana,98,49,34,11,4,0,95,48,33,11,3,0,87,46,29,9,3,0,40,26,12,2,0,0,26,16,5,5,0,0,13,8,5,0,0,0,7,6,1,0,0,0
,,Maine,20,6,10,2,2,0,20,6,10,2,2,0,15,6,7,2,0,0,8,5,3,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2,2,0,0,0,0
,,Maryland,63,21,29,11,2,0,61,19,29,11,2,0,50,18,23,8,1,0,22,10,11,1,0,0,20,6,10,4,0,0,10,5,5,0,0,0,2,1,0,1,0,0
,,Massachusetts,39,17,11,8,3,0,39,17,11,8,3,0,33,14,10,7,2,0,15,8,5,2,0,0,7,2,2,3,0,0,3,2,1,0,0,0,4,1,3,0,0,0
,,Michigan,170,82,59,24,5,0,166,79,58,24,5,0,138,72,48,16,2,0,67,41,21,5,0,0,34,22,8,3,1,0,28,16,11,1,0,0,17,8,8,1,0,0
,,Minnesota,82,41,26,12,3,0,82,41,26,12,3,0,72,38,21,11,2,0,31,18,8,4,1,0,35,19,10,6,0,0,14,10,2,2,0,0,6,5,1,0,0,0
,,Mississippi,51,27,15,6,3,0,51,27,15,6,3,0,43,24,11,5,3,0,24,14,4,5,1,0,14,6,4,2,2,0,6,4,1,1,0,0,10,5,2,1,2,0
,,Missouri,100,55,37,6,2,0,97,52,37,6,2,0,88,48,32,6,2,0,39,27,9,3,0,0,14,4,8,2,0,0,17,13,4,0,0,0,11,7,3,1,0,0
,,Montana,23,12,9,2,0,0,23,12,9,2,0,0,20,10,8,2,0,0,11,4,7,0,0,0,3,1,2,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0
,,Nebraska,24,9,14,1,0,0,23,8,14,1,0,0,20,8,11,1,0,0,6,2,4,0,0,0,12,5,6,1,0,0,2,1,1,0,0,0,6,4,2,0,0,0
,,Nevada,32,21,6,2,3,0,31,20,6,2,3,0,27,19,6,1,1,0,14,12,1,1,0,0,5,3,1,0,1,0,0,0,0,0,0,0,5,4,1,0,0,0
,,New Hampshire,7,5,2,0,0,0,7,5,2,0,0,0,5,3,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New Jersey,97,45,30,14,8,0,92,44,27,13,8,0,71,33,24,9,5,0,30,17,10,3,0,0,20,10,7,2,1,0,8,2,5,1,0,0,4,3,1,0,0,0
,,New Mexico,32,18,9,5,0,0,31,18,9,4,0,0,31,17,9,5,0,0,13,9,4,0,0,0,2,0,1,1,0,0,2,1,1,0,0,0,2,0,1,1,0,0
,,New York,185,88,69,25,3,0,177,84,67,23,3,0,141,64,56,19,2,0,75,43,22,10,0,0,28,18,7,2,1,0,13,7,4,2,0,0,11,7,2,2,0,0
,,North Carolina,132,74,46,11,1,0,130,73,45,11,1,0,119,63,45,10,1,0,51,30,18,3,0,0,41,19,20,2,0,0,20,11,8,1,0,0,11,7,4,0,0,0
,,North Dakota,14,5,7,1,1,0,14,5,7,1,1,0,12,5,5,1,1,0,6,4,2,0,0,0,3,0,2,1,0,0,1,0,1,0,0,0,5,2,1,1,1,0
,,Ohio,157,61,65,21,10,0,154,59,64,21,10,0,125,51,53,14,7,0,53,30,20,3,0,0,51,21,20,7,3,0,19,11,5,1,2,0,9,4,4,1,0,0
,,Oklahoma,71,35,31,5,0,0,68,33,30,5,0,0,55,28,23,4,0,0,29,19,8,2,0,0,5,2,3,0,0,0,4,2,2,0,0,0,6,5,1,0,0,0
,,Oregon,42,26,12,3,1,0,41,25,12,3,1,0,36,22,11,2,1,0,15,11,4,0,0,0,5,4,0,1,0,0,2,1,0,1,0,0,2,0,0,1,1,0
,,Pennsylvania,206,99,81,18,8,0,203,97,80,18,8,0,170,85,65,15,5,0,79,47,26,5,1,0,64,37,22,5,0,0,27,12,12,3,0,0,13,6,5,2,0,0
,,Puerto Rico,25,16,7,2,0,0,23,15,6,2,0,0,21,14,6,1,0,0,6,4,2,0,0,0,5,3,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0
,,Rhode Island,12,4,3,5,0,0,11,4,2,5,0,0,9,4,2,3,0,0,5,3,2,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,1,0,0,1,0,0
,,South Carolina,75,33,33,8,1,0,74,33,32,8,1,0,66,28,30,7,1,0,36,16,15,5,0,0,22,10,10,1,1,0,8,7,1,0,0,0,5,2,2,0,1,0
,,South Dakota,20,11,8,0,1,0,20,11,8,0,1,0,20,11,8,0,1,0,10,8,2,0,0,0,7,4,3,0,0,0,5,5,0,0,0,0,4,2,2,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,State unassigned,77,37,32,7,1,0,76,36,32,7,1,0,67,34,26,7,0,0,30,20,9,1,0,0,13,6,5,2,0,0,10,5,4,1,0,0,4,2,1,1,0,0
,,Tennessee,96,39,33,19,5,0,95,39,32,19,5,0,77,30,26,17,4,0,37,20,12,5,0,0,25,11,8,6,0,0,9,5,2,2,0,0,8,2,4,2,0,0
,,Texas,399,205,131,51,12,0,394,203,128,51,12,0,339,173,116,44,6,0,153,94,41,17,1,0,50,26,17,4,3,0,36,19,14,2,1,0,19,9,9,0,1,0
,,Utah,51,21,22,6,2,0,51,21,22,6,2,0,48,20,20,6,2,0,20,11,7,1,1,0,9,3,5,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0
,,Vermont,10,7,2,0,1,0,10,7,2,0,1,0,10,7,2,0,1,0,4,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Virginia,93,39,37,14,3,0,93,39,37,14,3,0,77,34,30,12,1,0,37,18,13,6,0,0,17,7,9,1,0,0,12,5,5,2,0,0,8,4,2,2,0,0
,,Washington,67,33,27,5,2,0,63,32,25,4,2,0,56,27,23,5,1,0,22,17,5,0,0,0,7,3,4,0,0,0,4,2,1,1,0,0,1,1,0,0,0,0
,,West Virginia,40,16,15,6,3,0,40,16,15,6,3,0,35,15,12,5,3,0,12,6,6,0,0,0,2,1,1,0,0,0,5,1,1,1,2,0,2,0,1,0,1,0
,,Wisconsin,99,50,34,13,2,0,96,48,33,13,2,0,89,47,30,11,1,0,40,24,12,4,0,0,44,25,13,6,0,0,13,8,3,2,0,0,3,1,2,0,0,0
,,Wyoming,6,1,3,2,0,0,6,1,3,2,0,0,3,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,11-17 Years,All Donor States of Residence,16574,7878,6195,1905,595,1,16200,7696,6057,1858,588,1,14492,6919,5424,1653,496,0,9563,4862,3512,989,200,0,7709,3816,2920,809,164,0,4568,2314,1674,459,121,0,440,233,158,38,11,0
,,Alabama,328,185,102,36,5,0,321,180,100,36,5,0,268,154,82,28,4,0,180,104,59,15,2,0,131,78,42,10,1,0,85,51,28,5,1,0,5,4,1,0,0,0
,,Alaska,58,25,25,5,3,0,57,25,25,4,3,0,49,21,21,5,2,0,27,15,10,2,0,0,31,13,15,3,0,0,16,6,9,1,0,0,0,0,0,0,0,0
,,Arizona,303,148,114,27,14,0,298,147,111,27,13,0,271,130,102,25,14,0,158,90,54,11,3,0,120,59,43,12,6,0,80,46,27,5,2,0,5,3,1,1,0,0
,,Arkansas,177,79,74,18,6,0,172,74,74,18,6,0,153,66,65,16,6,0,108,53,45,8,2,0,59,26,23,8,2,0,50,21,24,4,1,0,6,5,1,0,0,0
,,California,1498,750,507,186,55,0,1456,734,489,179,54,0,1348,674,462,165,47,0,946,503,311,116,16,0,692,371,234,78,9,0,427,227,140,45,15,0,22,13,5,2,2,0
,,Colorado,291,127,115,40,9,0,284,124,112,40,8,0,268,118,106,36,8,0,185,96,66,21,2,0,156,79,60,13,4,0,76,34,32,8,2,0,6,4,2,0,0,0
,,Connecticut,130,63,45,16,6,0,124,60,45,13,6,0,104,52,38,12,2,0,77,40,25,11,1,0,50,25,16,7,2,0,21,9,9,3,0,0,1,0,1,0,0,0
,,Delaware,53,27,17,7,2,0,51,27,15,7,2,0,46,25,13,7,1,0,22,13,6,3,0,0,23,15,6,1,1,0,11,5,5,1,0,0,1,1,0,0,0,0
,,District of Columbia,33,20,6,5,2,0,32,20,6,4,2,0,29,19,5,3,2,0,22,12,5,4,1,0,24,16,4,3,1,0,9,6,2,1,0,0,0,0,0,0,0,0
,,Florida,955,463,341,119,32,0,935,454,333,117,31,0,826,409,291,100,26,0,513,280,175,48,10,0,422,223,148,43,8,0,252,139,83,26,4,0,63,38,19,4,2,0
,,Georgia,498,240,174,64,20,0,489,237,170,62,20,0,439,218,151,55,15,0,310,148,116,39,7,0,197,99,73,20,5,0,133,65,44,20,4,0,12,6,4,2,0,0
,,Hawaii,35,16,12,4,3,0,34,16,12,3,3,0,32,15,11,4,2,0,9,6,2,0,1,0,13,9,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0
,,Idaho,111,43,56,9,3,0,108,43,53,9,3,0,100,40,49,8,3,0,72,32,35,5,0,0,55,23,23,8,1,0,24,8,13,3,0,0,4,2,1,1,0,0
,,Illinois,725,354,242,101,28,0,710,349,235,99,27,0,625,309,204,85,27,0,380,211,108,52,9,0,386,192,127,57,10,0,236,127,68,29,12,0,14,9,3,1,1,0
,,Indiana,415,188,174,43,10,0,407,185,169,43,10,0,380,170,164,39,7,0,272,130,116,22,4,0,234,113,100,21,0,0,121,67,43,9,2,0,39,19,17,3,0,0
,,Iowa,206,106,78,16,6,0,199,101,77,16,5,0,188,96,72,15,5,0,106,61,36,7,2,0,113,55,48,9,1,0,57,34,21,2,0,0,3,1,2,0,0,0
,,Kansas,257,120,107,23,7,0,255,118,107,23,7,0,233,111,97,20,5,0,137,72,57,5,3,0,133,71,50,11,1,0,77,40,30,5,2,0,6,6,0,0,0,0
,,Kentucky,239,105,96,26,12,0,234,102,95,25,12,0,214,97,85,21,11,0,135,63,55,16,1,0,103,48,43,8,4,0,84,37,36,8,3,0,4,1,3,0,0,0
,,Louisiana,384,186,139,45,14,0,376,182,136,44,14,0,356,175,129,41,11,0,246,133,80,25,8,0,210,103,82,23,2,0,125,66,44,14,1,0,16,10,4,2,0,0
,,Maine,69,33,26,8,2,0,67,32,25,8,2,0,61,29,23,7,2,0,37,18,14,5,0,0,33,17,12,3,1,0,7,5,2,0,0,0,1,0,1,0,0,0
,,Maryland,268,127,97,32,12,0,260,125,92,31,12,0,234,113,89,24,8,0,152,78,54,18,2,0,157,83,58,14,2,0,94,49,36,8,1,0,10,6,3,0,1,0
,,Massachusetts,213,92,80,26,15,0,208,92,76,25,15,0,167,70,64,22,11,0,113,49,49,12,3,0,81,31,36,9,5,0,42,25,11,4,2,0,3,1,2,0,0,0
,,Michigan,621,259,271,64,27,0,605,253,263,62,27,0,516,211,225,58,22,0,322,151,132,30,9,0,264,111,121,27,5,0,167,74,71,17,5,0,21,10,10,1,0,0
,,Minnesota,272,107,129,28,8,0,268,105,128,27,8,0,244,100,114,24,6,0,156,63,80,10,3,0,184,75,91,16,2,0,87,34,43,7,3,0,7,1,4,0,2,0
,,Mississippi,223,105,81,34,3,0,217,100,80,34,3,0,184,89,63,30,2,0,134,69,40,23,2,0,92,44,31,16,1,0,53,28,18,7,0,0,13,7,5,1,0,0
,,Missouri,441,221,159,46,15,0,430,216,155,44,15,0,398,198,142,43,15,0,264,135,98,25,6,0,192,102,69,14,7,0,143,77,48,13,5,0,13,4,7,2,0,0
,,Montana,78,36,37,4,1,0,78,36,37,4,1,0,71,34,32,4,1,0,46,25,18,2,1,0,36,17,15,4,0,0,19,11,6,2,0,0,0,0,0,0,0,0
,,Nebraska,132,66,48,14,4,0,131,65,48,14,4,0,124,63,44,13,4,0,68,35,24,8,1,0,86,45,31,7,3,0,33,20,8,5,0,0,6,4,2,0,0,0
,,Nevada,140,65,48,20,7,0,139,65,47,20,7,0,131,62,43,19,7,0,91,50,30,11,0,0,61,32,24,5,0,0,38,21,12,3,2,0,5,3,2,0,0,0
,,New Hampshire,55,19,25,10,1,0,53,19,23,10,1,0,43,15,20,8,0,0,27,7,16,4,0,0,27,9,14,4,0,0,12,4,7,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New Jersey,286,138,97,44,7,0,281,136,95,43,7,0,245,119,83,36,7,0,161,79,55,23,4,0,142,65,48,26,3,0,70,37,23,8,2,0,5,2,2,0,1,0
,,New Mexico,136,70,53,9,4,0,132,66,53,9,4,0,115,56,49,7,3,0,78,42,31,3,2,0,31,15,15,1,0,0,35,18,15,2,0,0,3,1,2,0,0,0
,,New York,600,292,201,79,28,0,580,279,197,76,28,0,504,238,176,67,23,0,350,180,125,34,11,0,252,120,93,32,7,0,130,64,44,16,6,0,22,12,4,5,1,0
,,North Carolina,456,219,171,56,10,0,449,216,168,55,10,0,393,182,148,53,10,0,262,127,100,31,4,0,248,124,92,28,4,0,128,61,49,14,4,0,7,3,4,0,0,0
,,North Dakota,46,16,24,4,2,0,45,16,23,4,2,0,40,14,21,4,1,0,24,11,12,1,0,0,30,13,13,3,1,0,11,3,6,2,0,0,1,0,1,0,0,0
,,Ohio,634,279,248,79,28,0,626,273,247,78,28,0,552,245,215,68,24,0,364,166,141,41,16,0,364,160,147,46,11,0,199,91,77,24,7,0,21,15,5,1,0,0
,,Oklahoma,285,130,117,28,10,0,278,125,116,28,9,0,253,118,102,25,8,0,160,83,59,14,4,0,77,38,30,6,3,0,64,31,22,7,4,0,2,1,0,1,0,0
,,Oregon,189,85,86,14,3,1,188,84,86,14,3,1,169,75,80,11,3,0,91,42,43,5,1,0,78,38,33,5,2,0,38,11,24,3,0,0,1,1,0,0,0,0
,,Pennsylvania,693,308,271,84,30,0,675,298,266,81,30,0,613,272,241,75,25,0,386,174,162,42,8,0,365,167,140,47,11,0,210,98,87,22,3,0,24,11,9,3,1,0
,,Puerto Rico,112,58,40,10,4,0,111,58,39,10,4,0,89,44,35,7,3,0,48,29,18,1,0,0,41,28,12,1,0,0,27,13,12,2,0,0,5,2,3,0,0,0
,,Rhode Island,23,10,12,1,0,0,21,9,11,1,0,0,19,8,10,1,0,0,16,7,8,1,0,0,13,6,7,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
,,South Carolina,275,129,103,29,14,0,272,128,101,29,14,0,247,120,89,25,13,0,178,87,64,20,7,0,133,68,50,12,3,0,86,43,34,6,3,0,4,1,1,2,0,0
,,South Dakota,51,24,22,4,1,0,51,24,22,4,1,0,45,20,21,3,1,0,27,12,11,4,0,0,36,18,13,4,1,0,23,7,13,3,0,0,2,1,1,0,0,0
,,State unassigned,277,125,103,42,7,0,268,121,99,41,7,0,213,101,76,33,3,0,154,77,55,20,2,0,79,36,27,16,0,0,54,24,20,9,1,0,3,1,2,0,0,0
,,Tennessee,404,192,148,52,12,0,394,187,143,52,12,0,348,167,126,44,11,0,247,115,95,29,8,0,210,103,76,25,6,0,124,54,49,17,4,0,11,3,6,2,0,0
